number,unit_name,entity_name,success,reason,rental_income,tax_paid,rented_to_mp,approx_tax_rate,mp_name,mp_email,years_rented_to_mp
ST0028284,Winchester,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0024761,Loughborough,Conservative and Unionist Party,TRUE,,12405.85,,FALSE,0,,,
ST0028177,Bexhill & Battle,Conservative and Unionist Party,TRUE,,229,,FALSE,0,Dr Kieran Mullan,kieran.mullan.mp@parliament.uk,
ST0028424,Gravesham,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028410,Hinckley and Bosworth,Conservative and Unionist Party,TRUE,,13485,2229,TRUE,0.1652947719688542,Dr Luke Evans,luke.evans.mp@parliament.uk,
ST0028454,Epping Forest,Conservative and Unionist Party,TRUE,,15650,1615,TRUE,0.1031948881789137,Dr Neil Hudson,neil.hudson.mp@parliament.uk,6
ST0028336,South Cotswolds,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0026889,Ealing Central and Acton,Conservative and Unionist Party,TRUE,,0,1021,FALSE,,,,
ST0024929,Stroud,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028399,Kingston & Surbiton,Conservative and Unionist Party,TRUE,,1223.64,,FALSE,0,Ed Davey,,8
ST0028290,West Dorset,Conservative and Unionist Party,TRUE,,7874,,TRUE,0,,,
ST0028108,West Dorset,Liberal Democrats,TRUE,,0,,FALSE,,Edward Morello,edward.morello.mp@parliament.uk,
ST0028379,North Herefordshire,Conservative and Unionist Party,TRUE,,6262.63,,FALSE,0,,,
ST0028303,Tatton,Conservative and Unionist Party,TRUE,,0,,FALSE,,Esther McVey,esther.mcvey.mp@parliament.uk,
ST0026899,Enfield North,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028362,Putney,Conservative and Unionist Party,TRUE,,76000,15000,FALSE,0.1973684210526315,,,
ST0028510,Henley and Thame,Conservative and Unionist Party,TRUE,,,119930,FALSE,,,,
ST0028470,Henley and Thame,Liberal Democrats,TRUE,,0,65.84,FALSE,,Freddie van Mierlo,freddie.vanmierlo.mp@parliament.uk,
ST0028369,Orpington,Conservative and Unionist Party,TRUE,,37531,,FALSE,0,Gareth Bacon,gareth.bacon.mp@parliament.uk,
ST0028534,Grantham and Bourne,Conservative and Unionist Party,TRUE,,8250,847,FALSE,0.1026666666666666,Gareth Davies,gareth.davies.mp@parliament.uk,
ST0028416,Harrow West,Conservative and Unionist Party,TRUE,,47032,5360.5,FALSE,0.1139755910869195,,,
ST0028360,Queen's Park and Maida Vale,Conservative and Unionist Party,TRUE,,,14156,FALSE,,,,
ST0028473,Taunton and Wellington,Liberal Democrats,TRUE,,0,,FALSE,,Gideon Amos,gideon.amos.mp@parliament.uk,
ST0028304,Taunton and Wellington,Conservative and Unionist Party,TRUE,,150,3199,FALSE,21.326666666666668,,,
ST0028175,Beverley & Holderness,Conservative and Unionist Party,TRUE,,3245,,TRUE,0,Graham Stuart,grahamstuartmp@parliament.uk,20
ST0028433,Farnham and Bordon,Conservative and Unionist Party,TRUE,,1587,,FALSE,0,Gregory Stafford,greg.stafford.mp@parliament.uk,
ST0028511,Maidstone & Malling,Conservative and Unionist Party,TRUE,,,,FALSE,,Helen Grant,helen.grant.mp@parliament.uk,
ST0028545,Dulwich & West Norwood,Conservative and Unionist Party,TRUE,,42950,,FALSE,0,,,
ST0028453,Epsom & Ewell,Conservative and Unionist Party,TRUE,,3878,920,FALSE,0.2372356884992264,,,
ST0028042,Epsom & Ewell,Liberal Democrats,TRUE,,0,62,FALSE,,Helen Maguire,helen.maguire.mp@parliament.uk,
ST0028377,North Shropshire,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028073,North Shropshire,Liberal Democrats,TRUE,,833.34,,FALSE,0,Helen Morgan,helen.morgan.mp@parliament.uk,
ST0024686,Faversham & Mid Kent,Conservative and Unionist Party,TRUE,,,,FALSE,,Helen Whately,helen.whately.mp@parliament.uk,
ST0027279,Hastings & Rye,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028094,South Edinburgh,Liberal Democrats,TRUE,,0,0,FALSE,,,,
ST0028382,North Devon,Conservative and Unionist Party,TRUE,,7899,305,FALSE,0.038612483,,,
ST0028068,North Devon,Liberal Democrats,TRUE,,84.31,0,FALSE,0,Ian Roome,ian.roome.mp@parliament.uk,
ST0028406,Ipswich,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028156,Windsor,Conservative and Unionist Party,TRUE,,15990,,FALSE,0,Jack Rankin,jack.rankin.mp@parliament.uk,
ST0028314,Suffolk South,Conservative and Unionist Party,TRUE,,,,FALSE,,James Cartlidge,james.cartlidge.mp@parliament.uk,
ST0028397,Lewes,Conservative and Unionist Party,TRUE,,749,34,FALSE,0.045393858,,,
ST0028057,Lewes,Liberal Democrats,TRUE,,0,0,FALSE,,James MacCleary,james.maccleary.mp@parliament.uk,
ST0028347,Rushcliffe,Conservative and Unionist Party,TRUE,,21900,4845,TRUE,0.2212328767123287,,,
ST0028386,Norfolk North West,Conservative and Unionist Party,TRUE,,,,FALSE,,James Wild,james.wild.mp@parliament.uk,
ST0025027,Truro and Falmouth,Conservative and Unionist Party,TRUE,,,15.29,FALSE,,,,
ST0028315,Suffolk Coastal,Conservative and Unionist Party,TRUE,,,100,FALSE,,,,
ST0028465,Broadland and Fakenham,Conservative and Unionist Party,TRUE,,5500,,FALSE,0,Jerome Mayhew,jerome.mayhew.mp@parliament.uk,
ST0028435,Chichester,Conservative and Unionist Party,TRUE,,0,179,FALSE,,,,
ST0028031,Chichester,Liberal Democrats,TRUE,,0,0,FALSE,,Jess Brown-Fuller,jess.brownfuller.mp@parliament.uk,
ST0028481,Hereford and South Herefordshire,Conservative and Unionist Party,TRUE,,,,FALSE,,Jesse Norman,jesse.norman.mp@parliament.uk,
ST0028210,Bournemouth West,Conservative and Unionist Party,TRUE,,14657,976,FALSE,0.066589343,,,
ST0028171,Bassetlaw,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0024844,Nuneaton,Conservative and Unionist Party,TRUE,,-1440,,FALSE,,,,
ST0028346,Salisbury,Conservative and Unionist Party,TRUE,,15298,,TRUE,0,John Glen,john.glen.mp@parliament.uk,15
ST0028408,Horsham,Conservative and Unionist Party,TRUE,,14000,1941,FALSE,0.1386428571428571,,,
ST0028052,Horsham,Liberal Democrats,TRUE,,0,0.9,FALSE,,John Milne,john.milne.mp@parliament.uk,
ST0028350,Rugby,Conservative and Unionist Party,TRUE,,7.67,0,FALSE,0,,,
ST0026884,Derbyshire Dales,Conservative and Unionist Party,TRUE,,0,86,FALSE,,,,
ST0028411,High Peak,Conservative and Unionist Party,TRUE,,13787,406.41,FALSE,0.029477769,,,
ST0028455,Eastbourne,Conservative and Unionist Party,TRUE,,,359,FALSE,,,,
ST0028038,Eastbourne,Liberal Democrats,TRUE,,15202,,FALSE,0,Josh Babarinde,josh.babarinde.mp@parliament.uk,
ST0028221,Calder Valley,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028174,Beaconsfield,Conservative and Unionist Party,TRUE,,18050,1878,FALSE,0.1040443213296399,Joy Morrissey,joy.morrissey.mp@parliament.uk,
ST0028340,Shrewsbury,Conservative and Unionist Party,TRUE,,4800,,TRUE,0,,,
ST0024567,Broxtowe,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0027065,Vale of Glamorgan,Conservative and Unionist Party,TRUE,,3000,0,FALSE,0,,,
ST0028515,Weald of Kent,Conservative and Unionist Party,TRUE,,0,,FALSE,,Katie Lam,katie.lam.mp@parliament.uk,
ST0024718,Leeds North West,Liberal Democrats,TRUE,,1840,336.78,FALSE,0.1830326086956521,,,
ST0028305,Thirsk and Malton,Conservative and Unionist Party,TRUE,,2100,0,FALSE,0,Kevin Hollinrake,kevin.hollinrake.mp@parliament.uk,
ST0028373,North West Hampshire,Conservative and Unionist Party,TRUE,,4985,243,TRUE,0.048746239,Kit Malthouse,kit.malthouse.mp@parliament.uk,10
ST0028167,Aylesbury,Conservative and Unionist Party,TRUE,,225448,52366,TRUE,0.2322752918633121,,,
ST0028017,Aylesbury,Liberal Democrats,TRUE,,0,0,FALSE,,,,
ST0028343,Sevenoaks,Conservative and Unionist Party,TRUE,,,0,TRUE,,Laura Trott,laura.trott.mp@parliament.uk,
ST0028075,Oxford West and Abingdon,Liberal Democrats,TRUE,,4693.28,,FALSE,0,Layla Moran,layla.moran.mp@parliament.uk,
ST0024849,Oxford West & Abingdon,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028442,Corby and East Northamptonshire,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0027365,Stafford,Conservative and Unionist Party,TRUE,,4444,,FALSE,0,,,
ST0028217,Broxbourne,Conservative and Unionist Party,TRUE,,,8,FALSE,,Lewis Cocking,lewis.cocking.mp@parliament.uk,
ST0028505,Beckenham and Penge,Conservative and Unionist Party,TRUE,,14062,4486,TRUE,0.3190157872279903,,,
ST0028301,Beckenham and Penge,Labour Party,TRUE,,0,6.55,TRUE,,Liam Conlon,liam.conlon.mp@parliament.uk,
ST0024920,Spelthorne,Conservative and Unionist Party,TRUE,,3000,,TRUE,0,Lincoln Jopp,lincoln.jopp.mp@parliament.uk,
ST0028048,Hazel Grove,Liberal Democrats,TRUE,,240,16.3,FALSE,0.067916667,Lisa Smart,lisa.smart.mp@parliament.uk,
ST0027281,Hazel Grove,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028039,Eastleigh,Liberal Democrats,TRUE,,2161.6,217.14,FALSE,0.1004533678756476,Liz Jarvis,liz.jarvis.mp@parliament.uk,
ST0024678,Eastleigh,Conservative and Unionist Party,TRUE,,16000,,TRUE,0,,,
ST0027848,Dwyfor Meirionnydd,Plaid Cymru - The Party of Wales,TRUE,,4248,,FALSE,0,Liz Saville Roberts,liz.savilleroberts.mp@parliament.uk,
ST0024897,South Dorset,Conservative and Unionist Party,TRUE,,26,,FALSE,0,,,
ST0028506,Blackpool North and Fleetwood,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028228,Chelmsford,Conservative and Unionist Party,TRUE,,25242,,TRUE,0,,,
ST0028148,Wyre Forest,Conservative and Unionist Party,TRUE,,5400,1062,FALSE,0.1966666666666666,Mark Garnier,mark.garnier.mp@parliament.uk,
ST0028366,Penrith and Solway,Conservative and Unionist Party,TRUE,,1,,FALSE,0,,,
ST0028173,Battersea,Conservative and Unionist Party,TRUE,,22100,3752,FALSE,0.1697737556561086,,,
ST0028067,Newton Abbot,Liberal Democrats,TRUE,,0,68.1,FALSE,,Martin Wrigley,martin.wrigley.mp@parliament.uk,
ST0028431,Forest of Dean,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028291,Watford,Conservative and Unionist Party,TRUE,,13186,2637,FALSE,0.1999848323979978,,,
ST0028104,Watford,Liberal Democrats,TRUE,,0,0,FALSE,,,,
ST0028292,Warwick & Leamington,Conservative and Unionist Party,TRUE,,0,5,FALSE,,,,
ST0028154,Wirral West,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028229,Cheltenham,Conservative and Unionist Party,TRUE,,0,0,FALSE,,,,
ST0028029,Cheltenham,Liberal Democrats,TRUE,,1200,,FALSE,0,Max Wilkinson,max.wilkinson.mp@parliament.uk,
ST0028225,Central Devon,Conservative and Unionist Party,TRUE,,0,0,FALSE,,Mel Stride,mel.stride.mp@parliament.uk,
ST0027282,Central Devon,Liberal Democrats,TRUE,,0,,FALSE,,,,
ST0028429,Gedling,Conservative and Unionist Party,TRUE,,75,,FALSE,0,,,
ST0028342,Sherwood Forest,Conservative and Unionist Party,TRUE,,117,,FALSE,0,,,
ST0028088,Tunbridge Wells,Liberal Democrats,TRUE,,0,,FALSE,,Mike Martin,mike.martin.mp@parliament.uk,
ST0028458,Dover and Deal,Conservative and Unionist Party,TRUE,,14592,,TRUE,0,,,
ST0028447,East Grinstead and Uckfield,Conservative and Unionist Party,TRUE,,292,143,FALSE,0.4897260273972603,Mims Davies,mims.davies.mp@parliament.uk,
ST0028019,Bedford,Liberal Democrats,TRUE,,0,0,FALSE,,,,
ST0027482,Bedford,Conservative and Unionist Party,TRUE,,1269.9,,FALSE,0,,,
ST0028451,Esher & Walton,Conservative and Unionist Party,TRUE,,600,,FALSE,0,,,
ST0028309,Sutton Coldfield,Conservative and Unionist Party,TRUE,,6486,55314,FALSE,8.528214616096207,Mr Andrew Mitchell,andrew.mitchell.mp@parliament.uk,
ST0028322,Southend East and Rochford,Conservative and Unionist Party,TRUE,,,760,FALSE,,,,
ST0028162,Altrincham & Sale West,Conservative and Unionist Party,TRUE,,8337,,FALSE,0,,,
ST0028449,East Lothian,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028327,South West Hertfordshire,Conservative and Unionist Party,TRUE,,0,384,FALSE,,Mr Gagan Mohindra,gagan.mohindra.mp@parliament.uk,
ST0027289,Hertfordshire South West,Conservative and Unionist Party,TRUE,,0,,FALSE,,Mr Gagan Mohindra,gagan.mohindra.mp@parliament.uk,
ST0028212,Braintree,Conservative and Unionist Party,TRUE,,,2721,FALSE,,Mr James Cleverly,james.cleverly.mp@parliament.uk,
ST0028394,Maidenhead,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028387,Newbury,Conservative and Unionist Party,TRUE,,30124,3383,FALSE,0.1123024830699774,,,
ST0028370,Old Bexley & Sidcup,Conservative and Unionist Party,TRUE,,5651,,TRUE,0,Mr Louie French,louie.french.mp@parliament.uk,4
ST0028357,Rayleigh and Wickford,Conservative and Unionist Party,TRUE,,6000,,TRUE,0,Mr Mark Francois,mark.francois.mp@parliament.uk,
ST0028285,Wimbledon,Conservative and Unionist Party,TRUE,,459,108,FALSE,0.2352941176470588,,,
ST0028283,Woking,Conservative and Unionist Party,TRUE,,8439,1475,TRUE,0.1747837421495437,,,
ST0028115,Woking,Liberal Democrats,TRUE,,0,541.29,FALSE,,Mr Will Forster,will.forster.mp@parliament.uk,
ST0026861,Carlisle,Conservative and Unionist Party,TRUE,,,151,FALSE,,,,
ST0028311,Sussex Weald,Conservative and Unionist Party,TRUE,,0,,FALSE,,Ms Nusrat Ghani,nusrat.ghani.mp@parliament.uk,
ST0028297,Twickenham,Conservative and Unionist Party,TRUE,,17520,837,FALSE,0.047773973,,,
ST0028363,Poole,Conservative and Unionist Party,TRUE,,11428,100.76,TRUE,0.008816941,,,
ST0028078,Poole,Liberal Democrats,TRUE,,0,131.98,FALSE,,,,
ST0028420,"Harborough, Oadby and Wigston",Conservative and Unionist Party,TRUE,,1087,,TRUE,0,Neil O'Brien,neil.obrien.mp@parliament.uk,8
ST0028313,Suffolk West,Conservative and Unionist Party,TRUE,,0,0,FALSE,,Nick Timothy,nick.timothy.mp@parliament.uk,
ST0028475,Didcot and Wantage,Liberal Democrats,TRUE,,277,85.34,FALSE,0.308086643,Olly Glover,olly.glover.mp@parliament.uk,
ST0028445,Didcot and Wantage,Conservative and Unionist Party,TRUE,,,836,FALSE,,,,
ST0028144,Colchester,Liberal Democrats,TRUE,,0,88.25,FALSE,,,,
ST0028320,Southport,Conservative and Unionist Party,TRUE,,200,,FALSE,0,,,
ST0024578,Central Suffolk & North Ipswich,Conservative and Unionist Party,TRUE,,576,,FALSE,0,Patrick Spencer,patrick.spencer.mp@parliament.uk,
ST0028508,Bromley and Biggin Hill,Conservative and Unionist Party,TRUE,,8774,1500,TRUE,0.1709596535217688,Peter Fortune,peter.fortune.mp@parliament.uk,
ST0028220,Bury St Edmunds and Stowmarket,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028211,Bracknell,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028191,Bolton West,Conservative and Unionist Party,TRUE,,4800,,FALSE,0,,,
ST0028337,South Cambridgeshire,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028091,South Cambridgeshire,Liberal Democrats,TRUE,,0,,FALSE,,Pippa Heylings,pippa.heylings.mp@parliament.uk,
ST0028153,Witham,Conservative and Unionist Party,TRUE,,,,FALSE,,Priti Patel,withammp@parliament.uk,
ST0028609,Cities of London & Westminster,Conservative and Unionist Party,TRUE,,,0,FALSE,,,,
ST0028307,Tiverton and Minehead,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028224,Castle Point,Conservative and Unionist Party,TRUE,,3630,,FALSE,0,Rebecca Harris,rebecca.harris.mp@parliament.uk,
ST0028359,Reigate,Conservative and Unionist Party,TRUE,,3577,,FALSE,0,Rebecca Paul,rebecca.paul.mp@parliament.uk,
ST0028328,South West Devon,Conservative and Unionist Party,TRUE,,,100,FALSE,,Rebecca Smith,rebecca.smith.mp@parliament.uk,
ST0028409,Honiton and Sidmouth,Conservative and Unionist Party,TRUE,,0,,FALSE,,,,
ST0028385,North Bedfordshire,Conservative and Unionist Party,TRUE,,933,250,FALSE,0.2679528403001072,Richard Fuller,richard.fuller.mp@parliament.uk,
ST0028207,Boston & Skegness,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028356,Richmond and Northallerton,Conservative and Unionist Party,TRUE,,38556,60,FALSE,0.001556178,Rishi Sunak,rishi.sunak.mp@parliament.uk,
ST0028403,Keighley and Ilkley,Conservative and Unionist Party,TRUE,,1500,,FALSE,0,Robbie Moore,robbie.moore.mp@parliament.uk,
ST0028388,Newark,Conservative and Unionist Party,TRUE,,5798,48,FALSE,0.008278717,Robert Jenrick,robert.jenrick.mp@parliament.uk,
ST0028223,Canterbury,Conservative and Unionist Party,TRUE,,,3439,FALSE,,,,
ST0028400,Kettering,Conservative and Unionist Party,TRUE,,176,,FALSE,0,,,
ST0026846,Brentford & Isleworth,Conservative and Unionist Party,TRUE,,38393,6684,FALSE,0.1740942359284244,,,
ST0028376,North Somerset,Conservative and Unionist Party,TRUE,,25550,1299,FALSE,0.050841487,,,
ST0028375,North West Cambridgeshire,Conservative and Unionist Party,TRUE,,975,252,FALSE,0.2584615384615384,,,
ST0028335,South Derbyshire,Conservative and Unionist Party,TRUE,,15318.48,,FALSE,0,,,
ST0028302,Tamworth,Conservative and Unionist Party,TRUE,,6014.91,,FALSE,0,,,
ST0028032,Chippenham,Liberal Democrats,TRUE,,0,0,FALSE,,Sarah Gibson,sarah.gibson.mp@parliament.uk,
ST0028030,Chesham and Amersham,Liberal Democrats,TRUE,,0,0,FALSE,,Sarah Green,sarah.green.mp@parliament.uk,
ST0028355,Richmond Park,Conservative and Unionist Party,TRUE,,36461,3846,FALSE,0.1054825704177065,,,
ST0028432,Finchley & Golders Green,Conservative and Unionist Party,TRUE,,20000,4008,FALSE,0.2004,,,
ST0028407,Hyndburn,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0026830,Banbury,Conservative and Unionist Party,TRUE,,,,FALSE,,,,
ST0028381,North Dorset,Conservative and Unionist Party,TRUE,,6494,,TRUE,0,Simon Hoare,simon.hoare.mp@parliament.uk,10
ST0028286,Wetherby and Easingwold,Conservative and Unionist Party,TRUE,,,,FALSE,,Sir Alec Shelbrooke,alec.shelbrooke.mp@parliament.uk,
ST0028214,Bridgwater,Conservative and Unionist Party,TRUE,,3333,798,TRUE,0.2394239423942394,Sir Ashley Fox,ashley.fox.mp@parliament.uk,
ST0028430,Gainsborough,Conservative and Unionist Party,TRUE,,0,132,FALSE,,Sir Edward Leigh,edward.leigh.mp@parliament.uk,
ST0028384,North Cotswolds,Conservative and Unionist Party,TRUE,,300,,FALSE,0,Sir Geoffrey Clifton-Brown,cliftonbrowng@parliament.uk,
ST0028298,Torridge and Tavistock,Conservative and Unionist Party,TRUE,,,224,FALSE,,Sir Geoffrey Cox,coxg@parliament.uk,
ST0028436,Chingford & Woodford Green,Conservative and Unionist Party,TRUE,,0,,FALSE,,Sir Iain Duncan Smith,Iain.duncansmith.mp@parliament.uk,15
ST0028402,Kenilworth and Southam,Conservative and Unionist Party,TRUE,,0,,FALSE,,Sir Jeremy Wright,Jeremy.wright.mp@parliament.uk,
ST0028333,South Holland & The Deepings,Conservative and Unionist Party,TRUE,,9968,0,TRUE,0,Sir John Hayes,hayesj@parliament.uk,28
ST0028389,New Forest East,Conservative and Unionist Party,TRUE,,10317,,FALSE,0,Sir Julian Lewis,,
